result_id,experiment_id,transcript_id,model_name,technique_name,recipe_name,json_valid,status
52,55,5,Llama 3.2 3B Instruct,few-shot,,true,completed
53,56,6,Llama 3.2 3B Instruct,few-shot,Tete-Tots,true,completed
54,57,7,Llama 3.2 3B Instruct,few-shot,Hummus,true,completed
55,58,8,Llama 3.2 3B Instruct,few-shot,Shark Shuka,true,completed
56,59,9,Llama 3.2 3B Instruct,few-shot,Salmon Sushi Bag,true,completed
57,60,10,Llama 3.2 3B Instruct,few-shot,Gimari,true,completed
58,61,11,Llama 3.2 3B Instruct,few-shot,,true,completed
59,62,12,Llama 3.2 3B Instruct,few-shot,Creamy Chicken Pop Pie,true,completed
60,63,13,Llama 3.2 3B Instruct,few-shot,Beef Bulgogi Cheese Steak,true,completed
61,64,14,Llama 3.2 3B Instruct,few-shot,Mee Sedap Pedas Ala Thai,true,completed
62,65,15,Llama 3.2 3B Instruct,few-shot,,true,completed
63,66,16,Llama 3.2 3B Instruct,few-shot,Black Pepper Beef,true,completed
64,67,17,Llama 3.2 3B Instruct,few-shot,Creamy Chicken Alfredo Pasta,true,completed
65,68,18,Llama 3.2 3B Instruct,few-shot,,true,completed
66,69,19,Llama 3.2 3B Instruct,few-shot,Korean Fried Chicken,true,completed
67,70,20,Llama 3.2 3B Instruct,few-shot,Moktel Buah Naga,true,completed
68,71,21,Llama 3.2 3B Instruct,few-shot,Mee Sedap Creamy Chili Oil,true,completed
69,72,22,Llama 3.2 3B Instruct,few-shot,Daging Harimau Shabu-Shabu,true,completed
70,73,23,Llama 3.2 3B Instruct,few-shot,,true,completed
71,74,24,Llama 3.2 3B Instruct,few-shot,Ayam Bakar Madu,true,completed
72,75,25,Llama 3.2 3B Instruct,few-shot,Baked Oats with Brownie,true,completed
73,76,26,Llama 3.2 3B Instruct,few-shot,Chilli Oil Noodle,true,completed
74,77,27,Llama 3.2 3B Instruct,few-shot,Bubur Oat,true,completed
75,78,28,Llama 3.2 3B Instruct,few-shot,Ice Strawberry Matcha Latte,true,completed
76,79,29,Llama 3.2 3B Instruct,few-shot,kek lava,true,completed
77,80,30,Llama 3.2 3B Instruct,few-shot,Strawberry Sando,true,completed
78,81,31,Llama 3.2 3B Instruct,few-shot,Chili Cheese Fries,true,completed
79,82,32,Llama 3.2 3B Instruct,few-shot,,true,completed
80,83,33,Llama 3.2 3B Instruct,few-shot,Biskut Energy Booster,true,completed
81,84,34,Llama 3.2 3B Instruct,few-shot,Macaroni Soup,true,completed
82,85,35,Llama 3.2 3B Instruct,few-shot,Ayam Goreng Raising Canes,true,completed
83,86,36,Llama 3.2 3B Instruct,few-shot,,true,completed
84,87,37,Llama 3.2 3B Instruct,few-shot,,true,completed
85,88,38,Llama 3.2 3B Instruct,few-shot,Caramelized Onion Pasta,true,completed
86,89,39,Llama 3.2 3B Instruct,few-shot,Nasi Goreng Cerdik,true,completed
87,90,40,Llama 3.2 3B Instruct,few-shot,Chicken Palm Sandwich,true,completed
88,91,41,Llama 3.2 3B Instruct,few-shot,Spicy Peanut Butter Noodle,true,completed
89,93,43,Llama 3.2 3B Instruct,few-shot,Pasta Itali,true,completed
90,94,44,Llama 3.2 3B Instruct,few-shot,Beef Stir Fry,true,completed
91,96,46,Llama 3.2 3B Instruct,few-shot,Grilled Cajun Chicken & Nasi Goreng Butter,true,completed
92,98,48,Llama 3.2 3B Instruct,few-shot,Cucumber Salad,true,completed
93,99,49,Llama 3.2 3B Instruct,few-shot,,true,completed
94,100,50,Llama 3.2 3B Instruct,few-shot,,true,completed
95,101,1,Llama 3.2 3B Instruct,chain-of-thought,Ayam Steam Halia,true,completed
96,102,2,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
97,103,3,Llama 3.2 3B Instruct,chain-of-thought,One Pot Chicken with Rice,true,completed
98,104,4,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
99,105,5,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
100,106,6,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
101,107,7,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
102,108,8,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
103,109,9,Llama 3.2 3B Instruct,chain-of-thought,Salmon Sushi Bag,true,completed
104,110,10,Llama 3.2 3B Instruct,chain-of-thought,,false,completed
105,111,11,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
106,112,12,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
107,113,13,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
108,114,14,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
109,115,15,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
110,116,16,Llama 3.2 3B Instruct,chain-of-thought,Black Pepper Beef,true,completed
111,117,17,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
112,118,18,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
113,119,19,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
114,120,20,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
115,121,21,Llama 3.2 3B Instruct,chain-of-thought,Mee Sedap Creamy Chili Oil,true,completed
116,122,22,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
117,123,23,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
118,124,24,Llama 3.2 3B Instruct,chain-of-thought,,false,completed
119,125,25,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
120,126,26,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
121,127,27,Llama 3.2 3B Instruct,chain-of-thought,Bubur Oat Savory,true,completed
122,128,28,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
123,129,29,Llama 3.2 3B Instruct,chain-of-thought,kek lava,true,completed
124,130,30,Llama 3.2 3B Instruct,chain-of-thought,Strawberry Sando,true,completed
125,131,31,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
126,132,32,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
127,133,33,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
128,134,34,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
129,135,35,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
130,136,36,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
131,137,37,Llama 3.2 3B Instruct,chain-of-thought,,false,completed
132,138,38,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
133,139,39,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
134,140,40,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
135,141,41,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
136,143,43,Llama 3.2 3B Instruct,chain-of-thought,Garlic,true,completed
137,144,44,Llama 3.2 3B Instruct,chain-of-thought,Beef Stir Fry,true,completed
138,146,46,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
139,148,48,Llama 3.2 3B Instruct,chain-of-thought,cucumber salad (tapi pedas sikit),true,completed
140,149,49,Llama 3.2 3B Instruct,chain-of-thought,,true,completed
141,150,50,Llama 3.2 3B Instruct,chain-of-thought,Viral Smoked Salmon Cucumber Salad,true,completed
142,151,1,Llama 3.2 3B Instruct,structured-output,,true,completed
143,152,2,Llama 3.2 3B Instruct,structured-output,,true,completed
144,153,3,Llama 3.2 3B Instruct,structured-output,,true,completed
145,154,4,Llama 3.2 3B Instruct,structured-output,,true,completed
146,155,5,Llama 3.2 3B Instruct,structured-output,,true,completed
147,156,6,Llama 3.2 3B Instruct,structured-output,,true,completed
148,157,7,Llama 3.2 3B Instruct,structured-output,,true,completed
149,158,8,Llama 3.2 3B Instruct,structured-output,,true,completed
150,159,9,Llama 3.2 3B Instruct,structured-output,,true,completed
151,160,10,Llama 3.2 3B Instruct,structured-output,Gimari,true,completed
152,161,11,Llama 3.2 3B Instruct,structured-output,Loaded Beef Nachos,true,completed
153,162,12,Llama 3.2 3B Instruct,structured-output,,true,completed
154,163,13,Llama 3.2 3B Instruct,structured-output,,true,completed
155,164,14,Llama 3.2 3B Instruct,structured-output,,true,completed
156,165,15,Llama 3.2 3B Instruct,structured-output,,true,completed
157,166,16,Llama 3.2 3B Instruct,structured-output,,true,completed
158,167,17,Llama 3.2 3B Instruct,structured-output,,true,completed
159,168,18,Llama 3.2 3B Instruct,structured-output,Japchae,true,completed
160,169,19,Llama 3.2 3B Instruct,structured-output,,true,completed
161,170,20,Llama 3.2 3B Instruct,structured-output,,true,completed
162,171,21,Llama 3.2 3B Instruct,structured-output,,true,completed
163,172,22,Llama 3.2 3B Instruct,structured-output,,true,completed
164,173,23,Llama 3.2 3B Instruct,structured-output,,true,completed
165,174,24,Llama 3.2 3B Instruct,structured-output,Ayam Bakar Madu,true,completed
166,175,25,Llama 3.2 3B Instruct,structured-output,,true,completed
167,176,26,Llama 3.2 3B Instruct,structured-output,,true,completed
168,177,27,Llama 3.2 3B Instruct,structured-output,,true,completed
169,178,28,Llama 3.2 3B Instruct,structured-output,Ice Strawberry Matcha Latte,true,completed
170,179,29,Llama 3.2 3B Instruct,structured-output,Lava Cake,true,completed
171,180,30,Llama 3.2 3B Instruct,structured-output,Strawberry Sando,true,completed
172,181,31,Llama 3.2 3B Instruct,structured-output,,true,completed
173,182,32,Llama 3.2 3B Instruct,structured-output,,true,completed
174,183,33,Llama 3.2 3B Instruct,structured-output,,true,completed
175,184,34,Llama 3.2 3B Instruct,structured-output,,true,completed
176,185,35,Llama 3.2 3B Instruct,structured-output,,true,completed
177,186,36,Llama 3.2 3B Instruct,structured-output,,true,completed
178,187,37,Llama 3.2 3B Instruct,structured-output,,true,completed
179,188,38,Llama 3.2 3B Instruct,structured-output,,true,completed
180,189,39,Llama 3.2 3B Instruct,structured-output,Nasi Goreng Cerdik,true,completed
181,190,40,Llama 3.2 3B Instruct,structured-output,,true,completed
182,191,41,Llama 3.2 3B Instruct,structured-output,,true,completed
183,193,43,Llama 3.2 3B Instruct,structured-output,,true,completed
184,194,44,Llama 3.2 3B Instruct,structured-output,,true,completed
185,196,46,Llama 3.2 3B Instruct,structured-output,,true,completed
186,198,48,Llama 3.2 3B Instruct,structured-output,,true,completed
187,199,49,Llama 3.2 3B Instruct,structured-output,,true,completed
188,200,50,Llama 3.2 3B Instruct,structured-output,Viral Smoked Salmon Cucumber Salad,true,completed
392,206,5,Phi-4-mini 3.8B Instruct,zero-shot,,true,failed
435,202,1,Phi-4-mini 3.8B Instruct,zero-shot,Ayam Steam Halia,true,completed
437,203,2,Phi-4-mini 3.8B Instruct,zero-shot,Sardin Pasta,true,completed
439,204,3,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
441,205,4,Phi-4-mini 3.8B Instruct,zero-shot,,true,completed
443,207,6,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
445,208,7,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
447,209,8,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
449,210,9,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
450,211,10,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
451,211,10,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
453,212,11,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
455,213,12,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
456,214,13,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
457,214,13,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
459,215,14,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
461,216,15,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
462,217,16,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
463,217,16,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
464,218,17,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
465,218,17,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
466,219,18,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
467,219,18,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
468,220,19,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
469,220,19,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
470,221,20,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
471,221,20,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
472,222,21,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
473,222,21,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
474,223,22,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
475,223,22,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
477,224,23,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
479,225,24,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
481,226,25,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
483,227,26,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
484,228,27,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
485,228,27,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
487,229,28,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
489,230,29,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
491,231,30,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
493,232,31,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
495,233,32,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
497,234,33,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
499,235,34,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
501,236,35,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
502,237,36,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
503,237,36,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
504,238,37,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
505,238,37,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
506,239,38,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
507,239,38,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
508,240,39,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
509,240,39,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
510,241,40,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
511,241,40,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
512,242,41,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
513,242,41,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
515,244,43,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
517,245,44,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
519,247,46,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
520,249,48,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
521,249,48,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
523,250,49,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
525,251,50,Phi-4-mini 3.8B Instruct,zero-shot,,false,completed
526,252,1,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
527,253,2,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
528,254,3,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
529,255,4,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
530,256,5,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
531,257,6,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
532,258,7,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
533,259,8,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
534,260,9,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
535,261,10,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
536,262,11,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
537,263,12,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
538,264,13,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
539,265,14,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
540,266,15,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
541,267,16,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
542,268,17,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
543,269,18,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
544,270,19,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
545,271,20,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
546,272,21,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
547,273,22,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
548,274,23,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
549,275,24,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
550,276,25,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
551,277,26,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
552,278,27,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
553,279,28,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
554,280,29,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
555,281,30,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
556,282,31,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
557,283,32,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
558,284,33,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
559,285,34,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
560,286,35,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
561,287,36,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
562,288,37,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
563,289,38,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
564,290,39,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
565,291,40,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
566,292,41,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
567,294,43,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
568,295,44,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
569,297,46,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
570,299,48,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
571,300,49,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
572,301,50,Phi-4-mini 3.8B Instruct,few-shot,,false,completed
573,302,1,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
574,303,2,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
575,304,3,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
576,305,4,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
577,306,5,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
579,307,6,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
580,308,7,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
581,309,8,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
582,310,9,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
583,311,10,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
584,312,11,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
585,313,12,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
586,314,13,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
587,315,14,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
588,316,15,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
589,317,16,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
590,318,17,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
591,319,18,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
592,320,19,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
593,321,20,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
594,322,21,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
595,323,22,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
596,324,23,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
597,325,24,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
598,326,25,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
599,327,26,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
600,328,27,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
601,329,28,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
602,330,29,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
603,331,30,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
604,332,31,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
605,333,32,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
606,334,33,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
607,335,34,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
608,336,35,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
609,337,36,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
610,338,37,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
612,339,38,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
613,340,39,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
614,341,40,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
615,342,41,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
616,344,43,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
617,345,44,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
618,347,46,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
619,349,48,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
620,350,49,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
621,351,50,Phi-4-mini 3.8B Instruct,chain-of-thought,,false,completed
622,352,1,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
623,353,2,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
624,354,3,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
625,355,4,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
626,356,5,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
627,357,6,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
628,358,7,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
629,359,8,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
630,360,9,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
631,361,10,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
632,362,11,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
633,363,12,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
634,364,13,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
635,365,14,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
636,366,15,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
637,367,16,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
638,368,17,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
639,369,18,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
640,370,19,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
641,371,20,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
642,372,21,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
643,373,22,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
644,374,23,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
645,375,24,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
646,376,25,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
647,377,26,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
648,378,27,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
649,379,28,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
650,380,29,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
651,381,30,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
652,382,31,Phi-4-mini 3.8B Instruct,structured-output,,false,completed
