experiment_id,transcript_id,model_name,technique_name,rag_enabled,predicted_ingredient_count,non_hallucinated_count,hallucinated_count
152,2,Llama 3.2 3B Instruct,structured-output,0,0,0,0
153,3,Llama 3.2 3B Instruct,structured-output,0,0,0,0
154,4,Llama 3.2 3B Instruct,structured-output,0,0,0,0
155,5,Llama 3.2 3B Instruct,structured-output,0,0,0,0
156,6,Llama 3.2 3B Instruct,structured-output,0,0,0,0
157,7,Llama 3.2 3B Instruct,structured-output,0,0,0,0
158,8,Llama 3.2 3B Instruct,structured-output,0,0,0,0
159,9,Llama 3.2 3B Instruct,structured-output,0,0,0,0
160,10,Llama 3.2 3B Instruct,structured-output,0,5,4,1
161,11,Llama 3.2 3B Instruct,structured-output,0,12,9,3
162,12,Llama 3.2 3B Instruct,structured-output,0,0,0,0
163,13,Llama 3.2 3B Instruct,structured-output,0,0,0,0
164,14,Llama 3.2 3B Instruct,structured-output,0,0,0,0
165,15,Llama 3.2 3B Instruct,structured-output,0,0,0,0
166,16,Llama 3.2 3B Instruct,structured-output,0,0,0,0
167,17,Llama 3.2 3B Instruct,structured-output,0,0,0,0
168,18,Llama 3.2 3B Instruct,structured-output,0,8,1,7
169,19,Llama 3.2 3B Instruct,structured-output,0,0,0,0
170,20,Llama 3.2 3B Instruct,structured-output,0,0,0,0
171,21,Llama 3.2 3B Instruct,structured-output,0,0,0,0
172,22,Llama 3.2 3B Instruct,structured-output,0,0,0,0
173,23,Llama 3.2 3B Instruct,structured-output,0,0,0,0
174,24,Llama 3.2 3B Instruct,structured-output,0,6,3,3
175,25,Llama 3.2 3B Instruct,structured-output,0,0,0,0
176,26,Llama 3.2 3B Instruct,structured-output,0,0,0,0
177,27,Llama 3.2 3B Instruct,structured-output,0,0,0,0
178,28,Llama 3.2 3B Instruct,structured-output,0,5,1,4
179,29,Llama 3.2 3B Instruct,structured-output,0,4,0,4
180,30,Llama 3.2 3B Instruct,structured-output,0,3,2,1
181,31,Llama 3.2 3B Instruct,structured-output,0,0,0,0
182,32,Llama 3.2 3B Instruct,structured-output,0,0,0,0
183,33,Llama 3.2 3B Instruct,structured-output,0,0,0,0
184,34,Llama 3.2 3B Instruct,structured-output,0,0,0,0
185,35,Llama 3.2 3B Instruct,structured-output,0,0,0,0
186,36,Llama 3.2 3B Instruct,structured-output,0,0,0,0
187,37,Llama 3.2 3B Instruct,structured-output,0,0,0,0
188,38,Llama 3.2 3B Instruct,structured-output,0,0,0,0
189,39,Llama 3.2 3B Instruct,structured-output,0,6,5,1
190,40,Llama 3.2 3B Instruct,structured-output,0,0,0,0
191,41,Llama 3.2 3B Instruct,structured-output,0,0,0,0
193,43,Llama 3.2 3B Instruct,structured-output,0,0,0,0
194,44,Llama 3.2 3B Instruct,structured-output,0,0,0,0
196,46,Llama 3.2 3B Instruct,structured-output,0,0,0,0
198,48,Llama 3.2 3B Instruct,structured-output,0,0,0,0
199,49,Llama 3.2 3B Instruct,structured-output,0,0,0,0
200,50,Llama 3.2 3B Instruct,structured-output,0,8,7,1
202,1,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
203,2,Phi-4-mini 3.8B Instruct,zero-shot,0,1,0,1
204,3,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
205,4,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
207,6,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
208,7,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
209,8,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
210,9,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
211,10,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
211,10,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
212,11,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
213,12,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
214,13,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
214,13,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
215,14,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
216,15,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
217,16,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
217,16,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
218,17,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
218,17,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
219,18,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
219,18,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
220,19,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
220,19,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
221,20,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
221,20,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
222,21,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
222,21,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
223,22,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
223,22,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
224,23,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
225,24,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
226,25,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
227,26,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
228,27,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
228,27,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
229,28,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
230,29,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
231,30,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
232,31,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
233,32,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
234,33,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
235,34,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
236,35,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
237,36,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
237,36,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
238,37,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
238,37,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
239,38,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
239,38,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
240,39,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
240,39,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
241,40,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
241,40,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
242,41,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
242,41,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
244,43,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
245,44,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
247,46,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
249,48,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
249,48,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
250,49,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
251,50,Phi-4-mini 3.8B Instruct,zero-shot,0,0,0,0
252,1,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
253,2,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
254,3,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
255,4,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
256,5,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
257,6,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
258,7,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
259,8,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
260,9,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
261,10,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
262,11,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
263,12,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
264,13,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
265,14,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
266,15,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
267,16,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
268,17,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
269,18,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
270,19,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
271,20,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
272,21,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
273,22,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
274,23,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
275,24,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
276,25,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
277,26,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
278,27,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
279,28,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
280,29,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
281,30,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
282,31,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
283,32,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
284,33,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
285,34,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
286,35,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
287,36,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
288,37,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
289,38,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
290,39,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
291,40,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
292,41,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
294,43,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
295,44,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
297,46,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
299,48,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
300,49,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
301,50,Phi-4-mini 3.8B Instruct,few-shot,0,0,0,0
302,1,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
303,2,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
304,3,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
305,4,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
306,5,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
307,6,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
308,7,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
309,8,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
310,9,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
311,10,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
312,11,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
313,12,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
314,13,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
315,14,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
316,15,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
317,16,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
318,17,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
319,18,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
320,19,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
321,20,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
322,21,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
323,22,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
324,23,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
325,24,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
326,25,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
327,26,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
328,27,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
329,28,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
330,29,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
331,30,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
332,31,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
333,32,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
334,33,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
335,34,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
336,35,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
337,36,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
338,37,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
339,38,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
340,39,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
341,40,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
342,41,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
344,43,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
345,44,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
347,46,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
349,48,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
350,49,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
351,50,Phi-4-mini 3.8B Instruct,chain-of-thought,0,0,0,0
352,1,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
353,2,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
354,3,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
355,4,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
356,5,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
357,6,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
358,7,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
359,8,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
360,9,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
361,10,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
362,11,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
363,12,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
364,13,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
365,14,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
366,15,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
367,16,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
368,17,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
369,18,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
370,19,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
371,20,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
372,21,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
373,22,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
374,23,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
375,24,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
376,25,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
377,26,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
378,27,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
379,28,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
380,29,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
381,30,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
382,31,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
383,32,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
384,33,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
385,34,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
386,35,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
387,36,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
388,37,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
389,38,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
390,39,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
391,40,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
392,41,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
394,43,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
395,44,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
397,46,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
399,48,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
400,49,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
401,50,Phi-4-mini 3.8B Instruct,structured-output,0,0,0,0
402,1,Qwen 2.5 3B Instruct,zero-shot,0,0,0,0
403,2,Qwen 2.5 3B Instruct,zero-shot,0,0,0,0
404,3,Qwen 2.5 3B Instruct,zero-shot,0,1,0,1
405,4,Qwen 2.5 3B Instruct,zero-shot,0,0,0,0
406,5,Qwen 2.5 3B Instruct,zero-shot,0,0,0,0
407,6,Qwen 2.5 3B Instruct,zero-shot,0,1,1,0
408,7,Qwen 2.5 3B Instruct,zero-shot,0,1,0,1
409,8,Qwen 2.5 3B Instruct,zero-shot,0,12,10,2
410,9,Qwen 2.5 3B Instruct,zero-shot,0,5,3,2
